"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"TC15000076.hg.1",1.86661986090755,2.0553549839735,2.35703667285254,1.95246382485033,2.00946100030474,2.1220337939383,2.11802138690402,2.06181002614648,2.209627530577,2.34281562015949,2.58366866905022,2.61428005334207
"TC15000069.hg.1",4.85326942896985,4.68975165718459,5.05175754938616,4.62298294503412,4.64886702534094,5.12184140784125,5.06369684961162,5.03402427739916,5.31369134764762,5.18233775616026,5.05077797949395,4.99025447416695
"TC15000070.hg.1",5.50837979536079,5.51127364118144,5.58234835106062,5.31337490639973,5.52703234684002,5.57423009453197,5.95422374214337,5.71300381531064,6.16836239508912,5.88526988877196,5.99441898889951,5.53558507383362
"TC15000078.hg.1",1.61722001495501,1.99405864967708,1.93086256764588,2.04614712689151,2.29673992302725,2.3981824692299,2.11190940646439,1.84909515954236,1.94507245601676,2.48708931594296,2.26435772963619,2.14348453084581
"TC15000080.hg.1",2.58590848751661,2.22366958210059,2.65773155713791,3.04696786802522,2.94797069823035,3.11140293497173,2.73703500191139,2.59898633694863,2.53348388405419,2.78209634726135,3.03405220791813,2.96341894112389
"TC15000083.hg.1",2.56567622669776,2.11544128666293,2.24922791437769,2.22771073661003,2.71936278530696,2.17688870582239,1.87023821440167,2.28815035611041,2.33645275062655,2.58410146510347,2.62805210197337,2.40973584970697
"TC15000086.hg.1",2.3664248285531,2.30681130765118,2.43514931396355,2.33287266055175,2.41246671199792,2.46415007791877,2.34213290366557,2.63661173419789,2.60936071173536,2.83972703888711,2.86681132161558,2.75084496391097
"TC15000094.hg.1",2.67240694692169,2.72546013135168,2.72095232010603,3.12929878344437,3.02970918722463,2.91398146806342,2.74965217043202,2.61796735632726,2.72491975877171,3.22845456860211,3.03411638758117,2.75785530512056
"TC15000096.hg.1",2.07775792612227,2.00791733060062,2.03025898327644,2.26259944110174,2.15560459255028,2.18667954644683,2.2500457529291,2.0434031638385,2.26549313779266,2.22056508914463,2.25419995406495,2.06290875128166
"TC15000101.hg.1",2.33552205715171,2.26919008718352,2.19901100127381,2.45562405773404,2.38774427476346,2.12132512608784,2.34248869480267,2.39831807735896,2.53103124441875,2.05595108360494,2.45671228564202,2.30832472752557
