"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"IFIH1",5.40385352910984,5.53538130432923,5.63985169874504,10.3938064176374,10.3821772345244,10.6916585854919,4.73911417711552,4.51680945677437,4.69603122431976,10.1757240820227,10.0645165063338,10.0467296965612
"C17orf75",6.8901826595744,6.76369204510623,7.02765431739394,6.50702926732049,6.53931552022368,6.86239054467442,7.22179976255482,7.24044436938813,7.5512108631849,7.44559791367562,7.34553411228903,7.15498168739164
"ERAP2",4.75614798179509,4.70061547411839,4.66686505855321,5.80204665135952,5.80086574759055,6.17386924830193,4.59391272731345,4.66197134464747,4.73210185928054,6.0945090345984,6.21929116866096,5.82254268402373
"POPDC3",7.65707532675762,7.61666285228903,7.60163774545864,6.82562224575538,6.88251780583998,7.05738850787779,7.18103165701772,7.14484378897104,7.43357849092583,7.11030035987651,7.07111566592204,6.85831069241949
"SFRP1",6.62464698333425,6.56745811884902,6.8660702317106,6.94681906618572,6.93411444747855,7.17995047234952,6.16695069481602,5.73453703712848,6.43548536083487,7.15908667933356,6.94754167139649,7.01452076508503
"MIR4500HG",4.16467765443084,4.21711499717992,4.14016568120216,4.32049102688447,4.16035336251924,4.08579939523488,4.60269601522913,4.61389990651979,4.82034077717083,4.73223040396361,4.56647741338281,4.51610575418845
"ARHGEF28",7.85720645586058,7.8092570825541,7.90467148482138,8.17275352294452,8.19200805552342,8.39216836830623,7.43610978248359,7.39336388464721,7.66635690042529,7.74202257011313,7.71862861232201,7.56479599387531
"KIAA0754",7.92481663579645,7.7391686163016,7.76373987028862,7.3690436916663,7.38063469354964,7.60871842957265,7.21418116022048,6.96609922432263,7.37719885390463,7.04301895208557,6.97070992637252,6.47878611863344
"NFKBIZ",6.01221353576683,6.10135435763635,5.9291459388612,6.90134586502965,6.95847257675285,7.18685473703325,6.38050684470295,6.31037036554046,6.45933718589611,6.97218018253461,6.94770824255946,6.71904108372721
"PURPL",6.57520759181617,6.53547790412409,6.57423689326597,7.36691187908658,7.31731141804706,7.81618524140061,4.39384753509957,4.17419916890796,4.48178965900219,5.09710589931062,4.86642231048689,4.73753638546721
"AZI2",6.80603232874856,6.89977918471488,6.91995152347824,7.36786989153015,7.37250605064896,7.64470422731984,7.05282915248399,6.87816084233164,7.24724421441207,7.85373194967517,7.82616278269031,7.7099447861901
"NXN",8.24898134390777,8.16556050730326,8.24277462807868,8.06259287769137,8.06110496716364,8.05703042881438,7.58956612984202,7.64133590695238,7.51611927426326,7.38068719991754,7.39317093813294,7.33636399408393
"CNTNAP3P2",9.48321753168239,9.44013861624607,9.48988586394536,8.93250626455631,8.91772309897639,9.12033581136396,10.2785414516838,10.2491424387041,10.4858851212985,10.4161560441651,10.419920774073,10.2773304876513
